url,height,width,coco_id,img_id,flickr_id
https://cs.stanford.edu/people/rak248/VG_100K_2/1.jpg,600,800,,1,
https://cs.stanford.edu/people/rak248/VG_100K/2.jpg,600,800,,2,
https://cs.stanford.edu/people/rak248/VG_100K/3.jpg,480,640,,3,
https://cs.stanford.edu/people/rak248/VG_100K/4.jpg,480,640,,4,
https://cs.stanford.edu/people/rak248/VG_100K/5.jpg,600,800,,5,
https://cs.stanford.edu/people/rak248/VG_100K/6.jpg,600,800,,6,
https://cs.stanford.edu/people/rak248/VG_100K/7.jpg,600,800,,7,
https://cs.stanford.edu/people/rak248/VG_100K/8.jpg,600,800,,8,
https://cs.stanford.edu/people/rak248/VG_100K/9.jpg,480,640,,9,
https://cs.stanford.edu/people/rak248/VG_100K/10.jpg,600,800,,10,
https://cs.stanford.edu/people/rak248/VG_100K/11.jpg,600,800,,11,
https://cs.stanford.edu/people/rak248/VG_100K/12.jpg,600,800,,12,
https://cs.stanford.edu/people/rak248/VG_100K/13.jpg,600,800,,13,
https://cs.stanford.edu/people/rak248/VG_100K/14.jpg,600,800,,14,
https://cs.stanford.edu/people/rak248/VG_100K/15.jpg,600,800,,15,
https://cs.stanford.edu/people/rak248/VG_100K/16.jpg,600,800,,16,
https://cs.stanford.edu/people/rak248/VG_100K/17.jpg,640,800,,17,
https://cs.stanford.edu/people/rak248/VG_100K/18.jpg,600,800,,18,
https://cs.stanford.edu/people/rak248/VG_100K/19.jpg,600,800,,19,
https://cs.stanford.edu/people/rak248/VG_100K/20.jpg,600,800,,20,
https://cs.stanford.edu/people/rak248/VG_100K/21.jpg,256,256,,21,
https://cs.stanford.edu/people/rak248/VG_100K/22.jpg,600,800,,22,
https://cs.stanford.edu/people/rak248/VG_100K/23.jpg,600,800,,23,
https://cs.stanford.edu/people/rak248/VG_100K/24.jpg,600,800,,24,
https://cs.stanford.edu/people/rak248/VG_100K/25.jpg,600,800,,25,
https://cs.stanford.edu/people/rak248/VG_100K/26.jpg,600,800,,26,
https://cs.stanford.edu/people/rak248/VG_100K/27.jpg,600,800,,27,
https://cs.stanford.edu/people/rak248/VG_100K/28.jpg,600,800,,28,
https://cs.stanford.edu/people/rak248/VG_100K/29.jpg,600,800,,29,
https://cs.stanford.edu/people/rak248/VG_100K/30.jpg,600,800,,30,
https://cs.stanford.edu/people/rak248/VG_100K/31.jpg,600,800,,31,
https://cs.stanford.edu/people/rak248/VG_100K/32.jpg,600,800,,32,
https://cs.stanford.edu/people/rak248/VG_100K/33.jpg,600,800,,33,
https://cs.stanford.edu/people/rak248/VG_100K/34.jpg,600,800,,34,
https://cs.stanford.edu/people/rak248/VG_100K/35.jpg,600,800,,35,
https://cs.stanford.edu/people/rak248/VG_100K/36.jpg,600,800,,36,
https://cs.stanford.edu/people/rak248/VG_100K/37.jpg,600,800,,37,
https://cs.stanford.edu/people/rak248/VG_100K/38.jpg,800,782,,38,
https://cs.stanford.edu/people/rak248/VG_100K/39.jpg,534,800,,39,
https://cs.stanford.edu/people/rak248/VG_100K/40.jpg,800,560,,40,
https://cs.stanford.edu/people/rak248/VG_100K/41.jpg,600,800,,41,
https://cs.stanford.edu/people/rak248/VG_100K/42.jpg,600,800,,42,
https://cs.stanford.edu/people/rak248/VG_100K/43.jpg,600,800,,43,
https://cs.stanford.edu/people/rak248/VG_100K/44.jpg,600,800,,44,
https://cs.stanford.edu/people/rak248/VG_100K/45.jpg,600,800,,45,
https://cs.stanford.edu/people/rak248/VG_100K/46.jpg,600,800,,46,
https://cs.stanford.edu/people/rak248/VG_100K/47.jpg,600,800,,47,
https://cs.stanford.edu/people/rak248/VG_100K/48.jpg,600,800,,48,
https://cs.stanford.edu/people/rak248/VG_100K/49.jpg,800,600,,49,
https://cs.stanford.edu/people/rak248/VG_100K/50.jpg,600,800,,50,
https://cs.stanford.edu/people/rak248/VG_100K/209.jpg,800,600,,209,
https://cs.stanford.edu/people/rak248/VG_100K/231.jpg,600,800,,231,
https://cs.stanford.edu/people/rak248/VG_100K/247.jpg,247,384,,247,
https://cs.stanford.edu/people/rak248/VG_100K/1988.jpg,600,800,,1988,
https://cs.stanford.edu/people/rak248/VG_100K/1990.jpg,600,800,,1990,
https://cs.stanford.edu/people/rak248/VG_100K/2194.jpg,669,800,,2194,
https://cs.stanford.edu/people/rak248/VG_100K/2579.jpg,600,800,,2579,
https://cs.stanford.edu/people/rak248/VG_100K/61512.jpg,680,1024,248774.0,61512,6273011878.0
https://cs.stanford.edu/people/rak248/VG_100K/61513.jpg,768,1024,567396.0,61513,8582481326.0
https://cs.stanford.edu/people/rak248/VG_100K/61514.jpg,768,1024,165203.0,61514,3472426520.0
https://cs.stanford.edu/people/rak248/VG_100K/61515.jpg,1024,704,,61515,5773112490.0
https://cs.stanford.edu/people/rak248/VG_100K/61517.jpg,683,1024,1682.0,61517,9515748684.0
https://cs.stanford.edu/people/rak248/VG_100K/61518.jpg,768,1024,564920.0,61518,7401056888.0
https://cs.stanford.edu/people/rak248/VG_100K/61519.jpg,851,1280,47458.0,61519,2538004422.0
https://cs.stanford.edu/people/rak248/VG_100K/61520.jpg,1024,683,439801.0,61520,8740679666.0
https://cs.stanford.edu/people/rak248/VG_100K/61521.jpg,680,1024,,61521,3317034612.0
https://cs.stanford.edu/people/rak248/VG_100K/61522.jpg,1024,910,544018.0,61522,5084757160.0
https://cs.stanford.edu/people/rak248/VG_100K/61523.jpg,670,1024,,61523,5547013860.0
https://cs.stanford.edu/people/rak248/VG_100K/61524.jpg,600,900,387606.0,61524,9414210295.0
https://cs.stanford.edu/people/rak248/VG_100K/61525.jpg,683,1024,322472.0,61525,2219749782.0
https://cs.stanford.edu/people/rak248/VG_100K/61528.jpg,679,1024,92109.0,61528,4631133759.0
https://cs.stanford.edu/people/rak248/VG_100K/61529.jpg,1200,800,110776.0,61529,145671186.0
https://cs.stanford.edu/people/rak248/VG_100K/61531.jpg,1024,683,83147.0,61531,7713268430.0
https://cs.stanford.edu/people/rak248/VG_100K/61533.jpg,712,1024,99170.0,61533,4017611370.0
https://cs.stanford.edu/people/rak248/VG_100K/61534.jpg,563,1024,460059.0,61534,2167336332.0
https://cs.stanford.edu/people/rak248/VG_100K/61537.jpg,768,1024,326071.0,61537,2908855474.0
https://cs.stanford.edu/people/rak248/VG_100K/61539.jpg,680,1024,307794.0,61539,2514972500.0
https://cs.stanford.edu/people/rak248/VG_100K/61540.jpg,733,1024,529383.0,61540,538693661.0
https://cs.stanford.edu/people/rak248/VG_100K/61541.jpg,681,1024,10478.0,61541,6705389705.0
https://cs.stanford.edu/people/rak248/VG_100K/61544.jpg,768,1024,371628.0,61544,4527941910.0
https://cs.stanford.edu/people/rak248/VG_100K/61546.jpg,600,800,,61546,93585575.0
https://cs.stanford.edu/people/rak248/VG_100K/61547.jpg,576,1024,,61547,803002775.0
https://cs.stanford.edu/people/rak248/VG_100K/61548.jpg,531,800,232309.0,61548,96962166.0
https://cs.stanford.edu/people/rak248/VG_100K/61549.jpg,1024,768,,61549,4930736762.0
https://cs.stanford.edu/people/rak248/VG_100K/61550.jpg,678,850,283382.0,61550,8000362110.0
https://cs.stanford.edu/people/rak248/VG_100K/61551.jpg,768,1024,,61551,7344315440.0
https://cs.stanford.edu/people/rak248/VG_100K/61552.jpg,667,1000,317934.0,61552,6800090271.0
https://cs.stanford.edu/people/rak248/VG_100K/61553.jpg,556,1024,,61553,7659880822.0
https://cs.stanford.edu/people/rak248/VG_100K/61554.jpg,768,903,114946.0,61554,8386698122.0
https://cs.stanford.edu/people/rak248/VG_100K/61555.jpg,768,1024,326574.0,61555,5141397019.0
https://cs.stanford.edu/people/rak248/VG_100K/61557.jpg,683,1024,342614.0,61557,2446861169.0
https://cs.stanford.edu/people/rak248/VG_100K/61558.jpg,612,1024,569827.0,61558,6433881417.0
https://cs.stanford.edu/people/rak248/VG_100K/61562.jpg,612,1024,26942.0,61562,6066118824.0
https://cs.stanford.edu/people/rak248/VG_100K/61563.jpg,652,1024,272807.0,61563,5159892039.0
https://cs.stanford.edu/people/rak248/VG_100K/61564.jpg,768,1024,,61564,8207112087.0
https://cs.stanford.edu/people/rak248/VG_100K/61565.jpg,299,520,,61565,7481387120.0
https://cs.stanford.edu/people/rak248/VG_100K/61566.jpg,705,1024,279373.0,61566,9544561768.0
