img_id,label,conf_level,run_date,api
1,sidewalk,27.2755,0000-00-00,imagga
1,walk,22.9416,0000-00-00,imagga
1,street,21.8322,0000-00-00,imagga
1,road,18.1568,0000-00-00,imagga
1,city,13.858,0000-00-00,imagga
1,people,12.7842,0000-00-00,imagga
1,person,11.5439,0000-00-00,imagga
1,travel,11.4605,0000-00-00,imagga
1,building,11.1742,0000-00-00,imagga
1,man,11.1502,0000-00-00,imagga
1,urban,10.2343,0000-00-00,imagga
1,business,9.92679,0000-00-00,imagga
1,male,9.85561,0000-00-00,imagga
1,adult,9.59555,0000-00-00,imagga
1,old,9.38462,0000-00-00,imagga
1,way,9.02997,0000-00-00,imagga
1,house,9.01975,0000-00-00,imagga
1,happy,8.70178,0000-00-00,imagga
1,life,8.49732,0000-00-00,imagga
1,architecture,8.40865,0000-00-00,imagga
1,summer,8.38669,0000-00-00,imagga
1,transportation,8.22031,0000-00-00,imagga
1,caucasian,8.17482,0000-00-00,imagga
1,day,7.87694,0000-00-00,imagga
1,lifestyle,7.49603,0000-00-00,imagga
1,landscape,7.31992,0000-00-00,imagga
1,smile,7.30121,0000-00-00,imagga
1,sky,7.15604,0000-00-00,imagga
1,town,7.07297,0000-00-00,imagga
1,black,7.06393,0000-00-00,imagga
1,outdoor,7.05861,0000-00-00,imagga
2,street,33.4105,0000-00-00,imagga
2,sidewalk,31.8573,0000-00-00,imagga
2,road,25.7285,0000-00-00,imagga
2,walk,21.6518,0000-00-00,imagga
2,city,21.0402,0000-00-00,imagga
2,intersection,18.4826,0000-00-00,imagga
2,building,16.8511,0000-00-00,imagga
2,urban,15.2551,0000-00-00,imagga
2,architecture,14.0997,0000-00-00,imagga
2,house,13.1882,0000-00-00,imagga
2,old,12.2493,0000-00-00,imagga
2,travel,12.0159,0000-00-00,imagga
2,town,11.9278,0000-00-00,imagga
2,way,10.4763,0000-00-00,imagga
2,buildings,9.82484,0000-00-00,imagga
2,business,8.4838,0000-00-00,imagga
2,people,8.40833,0000-00-00,imagga
2,jinrikisha,8.32,0000-00-00,imagga
2,europe,8.26517,0000-00-00,imagga
2,black,8.11783,0000-00-00,imagga
2,light,7.95978,0000-00-00,imagga
2,cars,7.89058,0000-00-00,imagga
2,transportation,7.81759,0000-00-00,imagga
2,sky,7.81438,0000-00-00,imagga
2,summer,7.49512,0000-00-00,imagga
2,life,7.4511,0000-00-00,imagga
2,cart,7.33683,0000-00-00,imagga
2,tourism,7.06174,0000-00-00,imagga
3,desk,59.9972,0000-00-00,imagga
3,monitor,55.835,0000-00-00,imagga
3,table,55.2267,0000-00-00,imagga
3,furniture,47.3863,0000-00-00,imagga
3,computer,37.7906,0000-00-00,imagga
3,display,30.4181,0000-00-00,imagga
3,modern,29.4128,0000-00-00,imagga
3,equipment,26.9046,0000-00-00,imagga
3,screen,26.3653,0000-00-00,imagga
3,technology,25.0243,0000-00-00,imagga
3,interior,21.9277,0000-00-00,imagga
3,furnishing,21.28,0000-00-00,imagga
3,room,20.9283,0000-00-00,imagga
3,office,20.6777,0000-00-00,imagga
3,laptop,18.5756,0000-00-00,imagga
3,electronic equipment,18.3306,0000-00-00,imagga
3,personal computer,18.1211,0000-00-00,imagga
3,pc,17.9947,0000-00-00,imagga
3,business,17.2983,0000-00-00,imagga
3,home,17.2537,0000-00-00,imagga
3,printer,15.996,0000-00-00,imagga
3,internet,15.666,0000-00-00,imagga
3,design,15.5936,0000-00-00,imagga
3,3d,14.332,0000-00-00,imagga
3,desktop,14.127,0000-00-00,imagga
3,tv,14.089,0000-00-00,imagga
3,lcd,13.4248,0000-00-00,imagga
3,keyboard,13.1228,0000-00-00,imagga
3,work,12.7979,0000-00-00,imagga
3,render,12.6398,0000-00-00,imagga
3,flat,12.4462,0000-00-00,imagga
3,nobody,12.047,0000-00-00,imagga
3,decor,11.6439,0000-00-00,imagga
3,electronics,11.6166,0000-00-00,imagga
3,communication,11.5562,0000-00-00,imagga
3,television,11.2806,0000-00-00,imagga
3,chair,11.1862,0000-00-00,imagga
3,digital,11.173,0000-00-00,imagga
3,apartment,11.0922,0000-00-00,imagga
3,desktop computer,10.8992,0000-00-00,imagga
3,house,10.8258,0000-00-00,imagga
3,empty,10.8115,0000-00-00,imagga
3,plasma,10.6229,0000-00-00,imagga
3,device,10.4125,0000-00-00,imagga
3,indoors,10.3662,0000-00-00,imagga
3,inside,10.0528,0000-00-00,imagga
3,working,9.93684,0000-00-00,imagga
3,style,9.67608,0000-00-00,imagga
3,black,9.58414,0000-00-00,imagga
3,panel,9.02231,0000-00-00,imagga
3,new,8.84217,0000-00-00,imagga
3,luxury,8.84147,0000-00-00,imagga
3,floor,8.68436,0000-00-00,imagga
3,seat,8.62376,0000-00-00,imagga
3,wood,8.44104,0000-00-00,imagga
3,comfortable,8.39051,0000-00-00,imagga
3,sofa,8.36488,0000-00-00,imagga
3,light,8.22714,0000-00-00,imagga
3,liquid crystal,8.13829,0000-00-00,imagga
3,notebook,8.04362,0000-00-00,imagga
3,entertainment,7.9951,0000-00-00,imagga
3,object,7.91578,0000-00-00,imagga
3,silver,7.84527,0000-00-00,imagga
3,machine,7.83939,0000-00-00,imagga
3,wall,7.42315,0000-00-00,imagga
3,glass,7.34802,0000-00-00,imagga
3,mouse,7.24438,0000-00-00,imagga
3,information,7.1287,0000-00-00,imagga
3,education,7.01396,0000-00-00,imagga
4,furniture,56.677,0000-00-00,imagga
4,room,38.2748,0000-00-00,imagga
4,chair,36.7433,0000-00-00,imagga
4,interior,33.2829,0000-00-00,imagga
4,home,31.8194,0000-00-00,imagga
4,seat,28.6454,0000-00-00,imagga
4,house,25.6707,0000-00-00,imagga
4,decor,24.6743,0000-00-00,imagga
4,sofa,24.0108,0000-00-00,imagga
4,modern,24.0098,0000-00-00,imagga
4,table,21.9972,0000-00-00,imagga
4,bed,21.0955,0000-00-00,imagga
4,couch,21.077,0000-00-00,imagga
4,apartment,20.0578,0000-00-00,imagga
4,living,19.828,0000-00-00,imagga
4,design,19.5341,0000-00-00,imagga
4,indoors,19.2518,0000-00-00,imagga
4,comfortable,19.1338,0000-00-00,imagga
4,style,18.1624,0000-00-00,imagga
4,furnishing,17.6421,0000-00-00,imagga
4,armchair,17.2595,0000-00-00,imagga
4,luxury,17.2308,0000-00-00,imagga
4,floor,16.2353,0000-00-00,imagga
